,pclass,sex,Age,sibsp,parch,fare,embarked,boat,home.dest,Title,survived
0,1,0,29.0,0,0,211.3375,2,11,308,9,1
1,1,1,0.92,1,2,151.55,2,2,230,8,1
2,1,0,2.0,1,2,151.55,2,-1,230,9,0
3,1,1,30.0,1,2,151.55,2,-1,230,12,0
4,1,0,25.0,1,2,151.55,2,-1,230,13,0
5,1,1,48.0,0,0,26.55,2,12,236,12,1
6,1,0,63.0,1,0,77.9583,2,1,161,9,1
7,1,1,39.0,0,0,0.0,2,-1,23,12,0
8,1,0,53.0,2,0,51.4792,2,26,21,13,1
9,1,1,71.0,0,0,49.5042,0,-1,228,12,0
10,1,1,47.0,1,0,227.525,0,-1,236,1,0
11,1,0,18.0,1,0,227.525,0,13,236,13,1
12,1,0,24.0,0,0,69.3,0,21,257,11,1
13,1,0,26.0,0,0,78.85,2,17,-1,9,1
14,1,1,80.0,0,0,30.0,2,23,157,12,1
15,1,1,29.881137667304014,0,0,25.925,2,-1,236,12,0
16,1,1,24.0,0,1,247.5208,0,-1,229,12,0
17,1,0,50.0,0,1,247.5208,0,17,229,13,1
18,1,0,32.0,0,0,76.2917,0,19,-1,9,1
19,1,1,36.0,0,0,75.2417,0,22,362,12,0
20,1,1,37.0,1,1,52.5542,2,14,236,12,1
21,1,0,47.0,1,1,52.5542,2,14,236,13,1
22,1,1,26.0,0,0,30.0,0,14,236,12,1
23,1,0,42.0,0,0,227.525,0,13,-1,9,1
24,1,0,29.0,0,0,221.7792,2,19,-1,9,1
25,1,1,25.0,0,0,26.0,0,-1,283,12,0
26,1,1,25.0,1,0,91.0792,0,18,97,12,1
27,1,0,19.0,1,0,91.0792,0,18,97,13,1
28,1,0,35.0,0,0,135.6333,2,19,-1,9,1
29,1,1,28.0,0,0,26.55,2,26,311,12,1
30,1,1,45.0,0,0,35.5,2,-1,339,12,0
31,1,1,40.0,0,0,31.0,0,18,130,12,1
32,1,0,30.0,0,0,164.8667,2,19,367,9,1
33,1,0,58.0,0,0,26.55,2,19,30,9,1
34,1,1,42.0,0,0,26.55,2,-1,207,12,0
35,1,0,45.0,0,0,262.375,0,13,75,9,1
36,1,0,22.0,0,1,55.0,2,17,307,9,1
37,1,1,29.881137667304014,0,0,26.55,2,21,214,12,1
38,1,1,41.0,0,0,30.5,2,-1,267,12,0
39,1,1,48.0,0,0,50.4958,0,-1,248,12,0
40,1,1,29.881137667304014,0,0,39.6,0,-1,263,4,0
41,1,0,44.0,0,0,27.7208,0,17,91,13,1
42,1,0,59.0,2,0,51.4792,2,26,26,13,1
43,1,0,60.0,0,0,76.2917,0,19,263,13,1
44,1,0,41.0,0,0,134.5,0,12,-1,9,1
45,1,1,45.0,0,0,26.55,2,-1,348,7,0
46,1,1,29.881137667304014,0,0,31.0,2,-1,-1,12,0
47,1,1,42.0,0,0,26.2875,2,14,236,12,1
48,1,0,53.0,0,0,27.4458,0,17,348,13,1
49,1,1,36.0,0,1,512.3292,0,12,15,12,1
50,1,0,58.0,0,1,512.3292,0,12,127,13,1
51,1,1,33.0,0,0,5.0,2,-1,236,12,0
52,1,1,28.0,0,0,47.1,2,-1,228,12,0
53,1,1,17.0,0,0,47.1,2,-1,228,12,0
54,1,1,11.0,1,2,120.0,2,13,51,8,1
55,1,0,14.0,1,2,120.0,2,13,51,9,1
56,1,1,36.0,1,2,120.0,2,24,51,12,1
57,1,0,36.0,1,2,120.0,2,13,51,13,1
58,1,1,49.0,0,0,26.0,2,-1,8,12,0
59,1,0,29.881137667304014,0,0,27.7208,0,14,236,13,1
60,1,1,36.0,1,0,78.85,2,-1,191,12,0
61,1,0,76.0,1,0,78.85,2,17,191,13,1
62,1,1,46.0,1,0,61.175,2,-1,4,12,0
63,1,0,47.0,1,0,61.175,2,13,4,13,1
64,1,1,27.0,1,0,53.1,2,14,240,12,1
65,1,0,33.0,1,0,53.1,2,14,240,13,1
66,1,0,36.0,0,0,262.375,0,13,-1,9,1
67,1,0,30.0,0,0,86.5,2,19,211,9,1
68,1,1,45.0,0,0,29.7,0,18,257,12,1
69,1,0,29.881137667304014,0,1,55.0,2,17,307,13,1
70,1,1,29.881137667304014,0,0,0.0,2,-1,194,12,0
71,1,1,27.0,1,0,136.7792,0,-1,214,12,0
72,1,0,26.0,1,0,136.7792,0,13,214,13,1
73,1,0,22.0,0,0,151.55,2,2,-1,9,1
74,1,1,29.881137667304014,0,0,52.0,2,-1,313,12,0
75,1,1,47.0,0,0,25.5875,2,-1,345,12,0
76,1,0,39.0,1,1,83.1583,0,7,188,9,1
77,1,1,37.0,1,1,83.1583,0,-1,188,12,0
78,1,0,64.0,0,2,83.1583,0,7,188,13,1
79,1,0,55.0,2,0,25.7,2,11,236,13,1
80,1,1,29.881137667304014,0,0,26.55,2,-1,274,12,0
81,1,1,70.0,1,1,71.0,2,-1,226,0,0
82,1,0,36.0,0,2,71.0,2,18,226,9,1
83,1,0,64.0,1,1,26.55,2,18,226,13,1
84,1,1,39.0,1,0,71.2833,0,-1,236,12,0
85,1,0,38.0,1,0,71.2833,0,13,236,13,1
86,1,1,51.0,0,0,26.55,2,16,190,12,1
87,1,1,27.0,0,0,30.5,2,12,263,12,1
88,1,0,33.0,0,0,151.55,2,19,-1,9,1
89,1,1,31.0,1,0,52.0,2,-1,229,12,0
90,1,0,27.0,1,2,52.0,2,12,229,13,1
91,1,1,31.0,1,0,57.0,2,12,57,12,1
92,1,0,17.0,1,0,57.0,2,12,57,13,1
93,1,1,53.0,1,1,81.8583,2,4,283,4,1
94,1,1,4.0,0,2,81.8583,2,14,283,8,1
95,1,0,54.0,1,1,81.8583,2,14,283,13,1
96,1,1,50.0,1,0,106.425,0,-1,87,12,0
97,1,0,27.0,1,1,247.5208,0,17,229,13,1
98,1,0,48.0,1,0,106.425,0,11,87,13,1
99,1,0,48.0,1,0,39.6,0,0,205,6,1
100,1,1,49.0,1,0,56.9292,0,0,205,16,1
101,1,1,39.0,0,0,29.7,0,-1,263,12,0
102,1,0,23.0,0,1,83.1583,0,18,232,13,1
103,1,0,38.0,0,0,227.525,0,13,236,9,1
104,1,0,54.0,1,0,78.2667,0,13,47,9,1
105,1,0,36.0,0,0,31.6792,0,-1,236,9,0
106,1,1,29.881137667304014,0,0,221.7792,2,-1,-1,12,0
107,1,0,29.881137667304014,0,0,31.6833,2,18,236,13,1
108,1,0,29.881137667304014,0,0,110.8833,0,13,-1,9,1
109,1,1,36.0,0,0,26.3875,2,14,48,12,1
110,1,1,30.0,0,0,27.75,0,-1,236,12,0
111,1,0,24.0,3,2,263.0,2,1,361,9,1
112,1,0,28.0,3,2,263.0,2,1,361,9,1
113,1,0,23.0,3,2,263.0,2,1,361,9,1
114,1,1,19.0,3,2,263.0,2,-1,361,12,0
115,1,1,64.0,1,4,263.0,2,-1,361,12,0
116,1,0,60.0,1,4,263.0,2,1,361,13,1
117,1,0,30.0,0,0,56.9292,0,0,-1,9,1
118,1,1,29.881137667304014,0,0,26.55,2,-1,355,12,0
119,1,1,50.0,2,0,133.65,2,14,236,4,1
120,1,1,43.0,1,0,27.7208,0,14,236,12,1
121,1,0,29.881137667304014,1,0,133.65,2,14,236,13,1
122,1,0,22.0,0,2,49.5,0,14,368,9,1
123,1,1,60.0,1,1,79.2,0,14,368,12,1
124,1,0,48.0,1,1,79.2,0,14,368,13,1
125,1,1,29.881137667304014,0,0,0.0,2,-1,-1,12,0
126,1,1,37.0,1,0,53.1,2,-1,286,12,0
127,1,0,35.0,1,0,53.1,2,26,286,13,1
128,1,1,47.0,0,0,38.5,2,-1,300,12,0
129,1,0,35.0,0,0,211.5,0,13,-1,9,1
130,1,0,22.0,0,1,59.4,0,18,236,9,1
131,1,0,45.0,0,1,59.4,0,18,236,13,1
132,1,1,24.0,0,0,79.2,0,-1,-1,12,0
133,1,1,49.0,1,0,89.1042,0,14,258,12,1
134,1,0,29.881137667304014,1,0,89.1042,0,14,258,13,1
135,1,1,71.0,0,0,34.6542,0,-1,236,12,0
136,1,1,53.0,0,0,28.5,0,23,348,1,1
137,1,0,19.0,0,0,30.0,2,12,137,9,1
138,1,1,38.0,0,1,153.4625,2,-1,361,12,0
139,1,0,58.0,0,1,153.4625,2,12,137,13,1
140,1,1,23.0,0,1,63.3583,0,18,236,12,1
141,1,0,45.0,0,1,63.3583,0,18,236,13,1
142,1,1,46.0,0,0,79.2,0,-1,236,12,0
143,1,1,25.0,1,0,55.4417,0,14,48,12,1
144,1,0,25.0,1,0,55.4417,0,14,48,13,1
145,1,1,48.0,1,0,76.7292,0,12,236,12,1
